qid	text
multi-hop-v2-001	请分别回答以下两个问题，并为每一部分引用对应证据：1. 蜂巢取快递验证码摁错怎么办；2. 私立医院生孩子价格。
multi-hop-v2-002	请分别回答以下两个问题，并为每一部分引用对应证据：1. 生产过后怎么还有一层肚子；2. 杜仲泡水喝功效与作用。
multi-hop-v2-003	请分别回答以下两个问题，并为每一部分引用对应证据：1. 大学怎么网上选宿舍；2. 金庸群侠传x如来神掌怎么得。
multi-hop-v2-004	请分别回答以下两个问题，并为每一部分引用对应证据：1. 怎么判断鱼卵是否活着；2. 红色教育内容写什么。
multi-hop-v2-005	请分别回答以下两个问题，并为每一部分引用对应证据：1. 胆碱重要吗；2. 维族是一个能歌善舞的民族,又称()族。
multi-hop-v2-006	请分别回答以下两个问题，并为每一部分引用对应证据：1. 霸天虎人物介绍；2. 精灵宝可梦和神奇宝贝是什么关系。
multi-hop-v2-007	请分别回答以下两个问题，并为每一部分引用对应证据：1. 生产过后怎么还有一层肚子；2. 联合国军在朝鲜死了多少人。
multi-hop-v2-008	请分别回答以下两个问题，并为每一部分引用对应证据：1. 腾讯体育美娜姐姐简介；2. 司鱼怎么样。
multi-hop-v2-009	请分别回答以下两个问题，并为每一部分引用对应证据：1. 大学怎么网上选宿舍；2. 中餐基本味型之调料之间比例大全。
multi-hop-v2-010	请分别回答以下两个问题，并为每一部分引用对应证据：1. 怎么判断鱼卵是否活着；2. 侠客风云传名声上限。
multi-hop-v2-011	请分别回答以下两个问题，并为每一部分引用对应证据：1. 胆碱重要吗；2. widely后面加什么。
multi-hop-v2-012	请分别回答以下两个问题，并为每一部分引用对应证据：1. 不破楼兰终不还是哪首古诗；2. 协和丰胸霜怎么样。
multi-hop-v2-013	请分别回答以下两个问题，并为每一部分引用对应证据：1. 东北名酒白酒排行榜；2. 皮蛋是寒性的食物吗。
multi-hop-v2-014	请分别回答以下两个问题，并为每一部分引用对应证据：1. 学生会女生部简介；2. 介绍家人工作的英语短篇作文。
multi-hop-v2-015	请分别回答以下两个问题，并为每一部分引用对应证据：1. 重庆古称渝州什么时候改为重庆；2. 淘宝卖的迷你摄像头真的可以用吗。
multi-hop-v2-016	请分别回答以下两个问题，并为每一部分引用对应证据：1. 你不知道,强行亲女生犯法吗；2. 氮气的氧化物。
multi-hop-v2-017	请分别回答以下两个问题，并为每一部分引用对应证据：1. 清洁生产的企业发展观；2. 月有阴晴圆缺的意义。
multi-hop-v2-018	请分别回答以下两个问题，并为每一部分引用对应证据：1. 微信象棋闯关攻略大全；2. 短途飞机有免费吃的吗。
multi-hop-v2-019	请分别回答以下两个问题，并为每一部分引用对应证据：1. 小白萝卜的腌制方法大全；2. 排列三直选定位公式。
multi-hop-v2-020	请分别回答以下两个问题，并为每一部分引用对应证据：1. 腾讯体育美娜姐姐简介；2. 开满鲜花的小路主要内容是什么。
multi-hop-v2-021	请分别回答以下两个问题，并为每一部分引用对应证据：1. 不破楼兰终不还是哪首古诗；2. 私立医院生孩子价格。
multi-hop-v2-022	请分别回答以下两个问题，并为每一部分引用对应证据：1. 2021广东省人身损害赔偿金标准；2. 百胜储备经理面试问题。
multi-hop-v2-023	请分别回答以下两个问题，并为每一部分引用对应证据：1. 联合国军在朝鲜死了多少人；2. 属龙的处女座2020年运势。
multi-hop-v2-024	请分别回答以下两个问题，并为每一部分引用对应证据：1. 中餐基本味型之调料之间比例大全；2. 济宁美开乐技校怎么样。
multi-hop-v2-025	请分别回答以下两个问题，并为每一部分引用对应证据：1. 东北名酒白酒排行榜；2. 杜仲泡水喝功效与作用。
multi-hop-v2-026	请分别回答以下两个问题，并为每一部分引用对应证据：1. 侠客风云传名声上限；2. 广元有哪里招聘工人的。
multi-hop-v2-027	请分别回答以下两个问题，并为每一部分引用对应证据：1. 学生会女生部简介；2. 金庸群侠传x如来神掌怎么得。
multi-hop-v2-028	请分别回答以下两个问题，并为每一部分引用对应证据：1. widely后面加什么；2. 肠内肠外营养支持。
multi-hop-v2-029	请分别回答以下两个问题，并为每一部分引用对应证据：1. 马王堆t字形帛画赏析；2. 看肝癌北京哪个医院好。
multi-hop-v2-030	请分别回答以下两个问题，并为每一部分引用对应证据：1. 重庆古称渝州什么时候改为重庆；2. 红色教育内容写什么。
multi-hop-v2-031	请分别回答以下两个问题，并为每一部分引用对应证据：1. 你不知道,强行亲女生犯法吗；2. 精灵宝可梦和神奇宝贝是什么关系。
multi-hop-v2-032	请分别回答以下两个问题，并为每一部分引用对应证据：1. 清洁生产的企业发展观；2. 协和丰胸霜怎么样。
multi-hop-v2-033	请分别回答以下两个问题，并为每一部分引用对应证据：1. 微信象棋闯关攻略大全；2. 皮蛋是寒性的食物吗。
multi-hop-v2-034	请分别回答以下两个问题，并为每一部分引用对应证据：1. 小白萝卜的腌制方法大全；2. 介绍家人工作的英语短篇作文。
multi-hop-v2-035	请分别回答以下两个问题，并为每一部分引用对应证据：1. 开满鲜花的小路主要内容是什么；2. 修改注册表 解决固态假死。
multi-hop-v2-036	请分别回答以下两个问题，并为每一部分引用对应证据：1. 私立医院生孩子价格；2. 纺织厂一般工资多少。
multi-hop-v2-037	请分别回答以下两个问题，并为每一部分引用对应证据：1. 杜仲泡水喝功效与作用；2. 蜂巢取快递验证码摁错怎么办。
multi-hop-v2-038	请分别回答以下两个问题，并为每一部分引用对应证据：1. 金庸群侠传x如来神掌怎么得；2. 生产过后怎么还有一层肚子。
multi-hop-v2-039	请分别回答以下两个问题，并为每一部分引用对应证据：1. 红色教育内容写什么；2. 大学怎么网上选宿舍。
multi-hop-v2-040	请分别回答以下两个问题，并为每一部分引用对应证据：1. 维族是一个能歌善舞的民族,又称()族；2. 怎么判断鱼卵是否活着。
multi-hop-v2-041	请分别回答以下两个问题，并为每一部分引用对应证据：1. 精灵宝可梦和神奇宝贝是什么关系；2. 胆碱重要吗。
multi-hop-v2-042	请分别回答以下两个问题，并为每一部分引用对应证据：1. 联合国军在朝鲜死了多少人；2. 淘宝卖的迷你摄像头真的可以用吗。
multi-hop-v2-043	请分别回答以下两个问题，并为每一部分引用对应证据：1. 中餐基本味型之调料之间比例大全；2. 氮气的氧化物。
multi-hop-v2-044	请分别回答以下两个问题，并为每一部分引用对应证据：1. 怀孕38天要去医院检查吗；2. 腾讯体育美娜姐姐简介。
multi-hop-v2-045	请分别回答以下两个问题，并为每一部分引用对应证据：1. 侠客风云传名声上限；2. 月有阴晴圆缺的意义。
multi-hop-v2-046	请分别回答以下两个问题，并为每一部分引用对应证据：1. 胸口痛什么原因；2. 长条气球怎么做爱心。
multi-hop-v2-047	请分别回答以下两个问题，并为每一部分引用对应证据：1. 协和丰胸霜怎么样；2. 妈妈倒车时不慎撞死自己孩子。
